ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
162	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	1	0
163	3	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
164	1	2	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	1	0
165	1	3	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	1	0
166	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
167	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
168	1	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
169	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
170	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
171	0	2	2	Inf	Inf	Inf	Inf	Inf	0	6	0
172	1	2	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
173	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
174	0	1	1	Inf	Inf	Inf	Inf	Inf	0	6	0
175	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
176	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
177	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
178	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
179	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
